passer,team,passerid,airyards,completion,int,td
T.Brady,NE,0,27,Incomplete Pass,0,0
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,18,Complete,0,0
T.Brady,NE,0,6,Complete,0,0
T.Brady,NE,0,2,Incomplete Pass,0,0
T.Brady,NE,0,27,Incomplete Pass,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,17,Incomplete Pass,0,0
T.Brady,NE,0,5,Complete,0,0
T.Brady,NE,0,24,Complete,0,0
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,12,Incomplete Pass,0,0
T.Brady,NE,0,7,Complete,0,0
T.Brady,NE,0,26,Incomplete Pass,0,0
T.Brady,NE,0,14,Complete,0,0
T.Brady,NE,0,16,Incomplete Pass,0,0
T.Brady,NE,0,7,Incomplete Pass,0,0
T.Brady,NE,0,30,Incomplete Pass,0,0
T.Brady,NE,0,-6,Complete,0,0
T.Brady,NE,0,17,Incomplete Pass,0,0
T.Brady,NE,0,42,Incomplete Pass,0,0
T.Brady,NE,0,15,Complete,0,0
T.Brady,NE,0,-8,Incomplete Pass,0,0
T.Brady,NE,0,3,Incomplete Pass,0,0
T.Brady,NE,0,15,Complete,0,0
T.Brady,NE,0,52,Complete,0,0
T.Brady,NE,0,5,Complete,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,8,Incomplete Pass,0,0
T.Brady,NE,0,-6,Complete,0,0
T.Brady,NE,0,26,Incomplete Pass,0,0
T.Brady,NE,0,38,Incomplete Pass,0,0
T.Brady,NE,0,10,Incomplete Pass,0,0
T.Brady,NE,0,56,Incomplete Pass,0,0
T.Brady,NE,0,52,Incomplete Pass,0,0
T.Brady,NE,0,4,Incomplete Pass,0,0
T.Brady,NE,0,3,Complete,0,0
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,5,Incomplete Pass,0,0
T.Brady,NE,0,0,Complete,0,0
T.Brady,NE,0,9,Complete,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,19,Complete,0,1
T.Brady,NE,0,12,Incomplete Pass,0,0
T.Brady,NE,0,-3,Complete,0,0
T.Brady,NE,0,17,Complete,0,1
T.Brady,NE,0,-5,Incomplete Pass,0,0
T.Brady,NE,0,9,Complete,0,0
T.Brady,NE,0,0,Complete,0,0
T.Brady,NE,0,13,Incomplete Pass,0,0
T.Brady,NE,0,11,Complete,0,1
T.Brady,NE,0,0,Complete,0,0
