passer,team,passerid,scorediff,completion,int,td
T.Brady,NE,0,0,Incomplete Pass,0,0
T.Brady,NE,0,0,Complete,0,0
T.Brady,NE,0,0,Complete,0,0
T.Brady,NE,0,0,Complete,0,0
T.Brady,NE,0,0,Incomplete Pass,0,0
T.Brady,NE,0,7,Incomplete Pass,0,0
T.Brady,NE,0,7,Complete,0,0
T.Brady,NE,0,7,Incomplete Pass,0,0
T.Brady,NE,0,7,Complete,0,0
T.Brady,NE,0,0,Complete,0,0
T.Brady,NE,0,0,Complete,0,0
T.Brady,NE,0,0,Incomplete Pass,0,0
T.Brady,NE,0,3,Complete,0,0
T.Brady,NE,0,3,Incomplete Pass,0,0
T.Brady,NE,0,3,Complete,0,0
T.Brady,NE,0,10,Incomplete Pass,0,0
T.Brady,NE,0,10,Incomplete Pass,0,0
T.Brady,NE,0,3,Incomplete Pass,0,0
T.Brady,NE,0,3,Complete,0,0
T.Brady,NE,0,3,Incomplete Pass,0,0
T.Brady,NE,0,-4,Incomplete Pass,0,0
T.Brady,NE,0,-4,Complete,0,0
T.Brady,NE,0,-4,Incomplete Pass,0,0
T.Brady,NE,0,-4,Incomplete Pass,0,0
T.Brady,NE,0,-4,Complete,0,0
T.Brady,NE,0,3,Complete,0,0
T.Brady,NE,0,-1,Complete,0,0
T.Brady,NE,0,-1,Complete,0,0
T.Brady,NE,0,-1,Incomplete Pass,0,0
T.Brady,NE,0,-1,Complete,0,0
T.Brady,NE,0,-1,Incomplete Pass,0,0
T.Brady,NE,0,-1,Incomplete Pass,0,0
T.Brady,NE,0,-1,Incomplete Pass,0,0
T.Brady,NE,0,-8,Incomplete Pass,0,0
T.Brady,NE,0,-8,Incomplete Pass,0,0
T.Brady,NE,0,-15,Incomplete Pass,0,0
T.Brady,NE,0,0,Complete,0,0
T.Brady,NE,0,0,Complete,0,0
T.Brady,NE,0,0,Incomplete Pass,0,0
T.Brady,NE,0,0,Complete,0,0
T.Brady,NE,0,0,Complete,0,0
T.Brady,NE,0,0,Complete,0,0
T.Brady,NE,0,0,Complete,0,1
T.Brady,NE,0,3,Incomplete Pass,0,0
T.Brady,NE,0,3,Complete,0,0
T.Brady,NE,0,3,Complete,0,1
T.Brady,NE,0,10,Incomplete Pass,0,0
T.Brady,NE,0,10,Complete,0,0
T.Brady,NE,0,10,Complete,0,0
T.Brady,NE,0,10,Incomplete Pass,0,0
T.Brady,NE,0,10,Complete,0,1
T.Brady,NE,0,10,Complete,0,0
T.Brady,NE,0,10,Incomplete Pass,0,0
T.Brady,NE,0,7,Complete,0,0
T.Brady,NE,0,7,Complete,0,0
T.Brady,NE,0,7,Complete,0,0
T.Brady,NE,0,14,Complete,0,0
T.Brady,NE,0,14,Complete,0,0
T.Brady,NE,0,14,Complete,0,0
T.Brady,NE,0,14,Incomplete Pass,0,0
T.Brady,NE,0,17,Complete,0,0
T.Brady,NE,0,17,Complete,0,0
T.Brady,NE,0,17,Incomplete Pass,0,0
T.Brady,NE,0,17,Incomplete Pass,0,0
T.Brady,NE,0,17,Complete,0,0
T.Brady,NE,0,17,Complete,0,0
T.Brady,NE,0,17,Incomplete Pass,0,0
T.Brady,NE,0,17,Complete,0,0
T.Brady,NE,0,20,Complete,0,0
T.Brady,NE,0,20,Complete,0,0
T.Brady,NE,0,20,Complete,0,0
T.Brady,NE,0,20,Complete,0,0
T.Brady,NE,0,20,Complete,0,0
T.Brady,NE,0,16,Complete,0,0
T.Brady,NE,0,0,Complete,0,0
T.Brady,NE,0,0,Incomplete Pass,0,0
T.Brady,NE,0,0,Incomplete Pass,0,0
T.Brady,NE,0,0,Complete,0,1
T.Brady,NE,0,4,Incomplete Pass,0,0
T.Brady,NE,0,4,Complete,0,0
T.Brady,NE,0,-3,Complete,0,0
T.Brady,NE,0,-3,Incomplete Pass,0,0
T.Brady,NE,0,-3,Complete,0,0
T.Brady,NE,0,-3,Complete,0,0
T.Brady,NE,0,-3,Complete,0,1
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,-5,Incomplete Pass,0,0
T.Brady,NE,0,-5,Complete,0,0
T.Brady,NE,0,-5,Complete,0,1
T.Brady,NE,0,2,Incomplete Pass,0,0
T.Brady,NE,0,2,Incomplete Pass,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,2,Complete,0,1
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,-1,Complete,0,0
T.Brady,NE,0,-1,Complete,0,0
T.Brady,NE,0,-1,Incomplete Pass,0,0
T.Brady,NE,0,-4,Incomplete Pass,0,0
T.Brady,NE,0,-4,Complete,0,0
T.Brady,NE,0,-4,Complete,0,0
T.Brady,NE,0,-4,Complete,0,0
T.Brady,NE,0,-4,Incomplete Pass,0,0
T.Brady,NE,0,-4,Complete,0,0
T.Brady,NE,0,-4,Complete,0,1
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,0,Complete,0,0
T.Brady,NE,0,0,Complete,0,0
T.Brady,NE,0,0,Complete,0,0
T.Brady,NE,0,0,Complete,0,0
T.Brady,NE,0,0,Incomplete Pass,0,0
T.Brady,NE,0,0,Incomplete Pass,0,0
T.Brady,NE,0,0,Complete,0,0
T.Brady,NE,0,0,Complete,0,0
T.Brady,NE,0,0,Complete,0,0
T.Brady,NE,0,0,Incomplete Pass,0,0
T.Brady,NE,0,0,Complete,0,0
T.Brady,NE,0,0,Complete,0,0
T.Brady,NE,0,0,Complete,0,0
T.Brady,NE,0,0,Complete,0,0
T.Brady,NE,0,0,Incomplete Pass,0,0
T.Brady,NE,0,0,Complete,0,1
T.Brady,NE,0,0,Complete,0,0
T.Brady,NE,0,0,Complete,0,0
T.Brady,NE,0,0,Complete,0,0
T.Brady,NE,0,0,Incomplete Pass,0,0
T.Brady,NE,0,0,Incomplete Pass,0,0
T.Brady,NE,0,-4,Complete,0,0
T.Brady,NE,0,-4,Incomplete Pass,0,0
T.Brady,NE,0,-4,Complete,0,0
T.Brady,NE,0,-1,Incomplete Pass,0,0
T.Brady,NE,0,-1,Complete,0,0
T.Brady,NE,0,-1,Complete,0,0
T.Brady,NE,0,-1,Incomplete Pass,0,0
T.Brady,NE,0,-7,Complete,0,0
T.Brady,NE,0,-7,Complete,0,0
T.Brady,NE,0,-7,Incomplete Pass,0,0
T.Brady,NE,0,-14,Complete,0,0
T.Brady,NE,0,-14,Complete,0,0
T.Brady,NE,0,-14,Complete,0,0
T.Brady,NE,0,-14,Complete,0,0
T.Brady,NE,0,-14,Incomplete Pass,0,0
T.Brady,NE,0,-14,Complete,0,0
T.Brady,NE,0,-14,Complete,0,0
T.Brady,NE,0,-7,Complete,0,0
T.Brady,NE,0,-7,Incomplete Pass,0,0
T.Brady,NE,0,-7,Complete,0,0
T.Brady,NE,0,-7,Complete,0,0
T.Brady,NE,0,-7,Complete,0,0
T.Brady,NE,0,-7,Incomplete Pass,0,0
T.Brady,NE,0,-7,Complete,0,1
T.Brady,NE,0,0,Complete,0,0
T.Brady,NE,0,0,Complete,0,0
T.Brady,NE,0,0,Complete,0,0
T.Brady,NE,0,0,Complete,0,0
T.Brady,NE,0,0,Incomplete Pass,1,0
T.Brady,NE,0,0,Incomplete Pass,0,0
T.Brady,NE,0,0,Complete,0,0
T.Brady,NE,0,0,Incomplete Pass,0,0
T.Brady,NE,0,0,Complete,0,0
T.Brady,NE,0,0,Complete,0,0
T.Brady,NE,0,0,Complete,0,0
T.Brady,NE,0,0,Incomplete Pass,0,0
T.Brady,NE,0,-4,Complete,0,0
T.Brady,NE,0,-4,Complete,0,0
T.Brady,NE,0,-4,Complete,0,0
T.Brady,NE,0,-4,Complete,0,0
T.Brady,NE,0,-4,Complete,0,0
T.Brady,NE,0,-4,Complete,0,0
T.Brady,NE,0,-4,Complete,0,1
T.Brady,NE,0,3,Complete,0,0
T.Brady,NE,0,3,Complete,0,0
T.Brady,NE,0,3,Complete,0,0
T.Brady,NE,0,6,Complete,0,0
T.Brady,NE,0,6,Complete,0,0
T.Brady,NE,0,6,Complete,0,0
T.Brady,NE,0,6,Incomplete Pass,0,0
T.Brady,NE,0,6,Incomplete Pass,0,0
T.Brady,NE,0,9,Complete,0,0
T.Brady,NE,0,9,Complete,0,0
T.Brady,NE,0,9,Incomplete Pass,0,0
T.Brady,NE,0,9,Complete,0,0
T.Brady,NE,0,9,Complete,0,0
T.Brady,NE,0,9,Complete,0,0
T.Brady,NE,0,9,Incomplete Pass,0,0
T.Brady,NE,0,9,Complete,0,0
T.Brady,NE,0,9,Complete,0,0
T.Brady,NE,0,9,Incomplete Pass,0,0
T.Brady,NE,0,9,Complete,0,0
T.Brady,NE,0,2,Incomplete Pass,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,-7,Complete,0,0
T.Brady,NE,0,-7,Incomplete Pass,0,0
T.Brady,NE,0,-7,Complete,0,0
T.Brady,NE,0,-7,Incomplete Pass,0,0
T.Brady,NE,0,-7,Incomplete Pass,0,0
T.Brady,NE,0,-7,Complete,0,0
T.Brady,NE,0,-7,Complete,0,0
T.Brady,NE,0,-14,Incomplete Pass,0,0
T.Brady,NE,0,-14,Complete,0,0
T.Brady,NE,0,-14,Incomplete Pass,0,0
T.Brady,NE,0,-14,Complete,0,0
T.Brady,NE,0,-14,Incomplete Pass,0,0
T.Brady,NE,0,-14,Complete,0,0
T.Brady,NE,0,-14,Complete,0,0
T.Brady,NE,0,-7,Incomplete Pass,0,0
T.Brady,NE,0,-7,Incomplete Pass,1,0
T.Brady,NE,0,-7,Incomplete Pass,0,0
T.Brady,NE,0,-7,Incomplete Pass,0,0
T.Brady,NE,0,-7,Incomplete Pass,0,0
T.Brady,NE,0,-7,Incomplete Pass,0,0
T.Brady,NE,0,-7,Complete,0,0
T.Brady,NE,0,-7,Complete,0,0
T.Brady,NE,0,-7,Incomplete Pass,0,0
T.Brady,NE,0,-7,Complete,0,1
T.Brady,NE,0,0,Complete,0,0
T.Brady,NE,0,0,Incomplete Pass,0,0
T.Brady,NE,0,0,Complete,0,0
T.Brady,NE,0,0,Incomplete Pass,0,0
T.Brady,NE,0,0,Complete,0,1
T.Brady,NE,0,7,Complete,0,0
T.Brady,NE,0,7,Complete,0,0
T.Brady,NE,0,7,Complete,0,0
T.Brady,NE,0,7,Incomplete Pass,0,0
T.Brady,NE,0,10,Complete,0,0
T.Brady,NE,0,10,Incomplete Pass,0,0
T.Brady,NE,0,7,Complete,0,0
T.Brady,NE,0,7,Incomplete Pass,0,0
T.Brady,NE,0,0,Complete,0,0
T.Brady,NE,0,0,Incomplete Pass,0,0
T.Brady,NE,0,0,Complete,0,0
T.Brady,NE,0,0,Complete,0,0
T.Brady,NE,0,0,Incomplete Pass,0,0
T.Brady,NE,0,0,Complete,0,0
T.Brady,NE,0,0,Complete,0,0
T.Brady,NE,0,0,Complete,0,1
T.Brady,NE,0,7,Incomplete Pass,0,0
T.Brady,NE,0,7,Incomplete Pass,0,0
T.Brady,NE,0,7,Complete,0,0
T.Brady,NE,0,7,Complete,0,0
T.Brady,NE,0,7,Complete,0,0
T.Brady,NE,0,7,Incomplete Pass,0,0
T.Brady,NE,0,10,Complete,0,0
T.Brady,NE,0,10,Complete,0,0
T.Brady,NE,0,10,Complete,0,0
T.Brady,NE,0,10,Complete,0,1
T.Brady,NE,0,17,Incomplete Pass,0,0
T.Brady,NE,0,17,Complete,0,0
T.Brady,NE,0,17,Incomplete Pass,0,0
T.Brady,NE,0,17,Complete,0,0
T.Brady,NE,0,17,Complete,0,0
T.Brady,NE,0,17,Complete,0,0
T.Brady,NE,0,20,Complete,0,0
T.Brady,NE,0,20,Complete,0,0
T.Brady,NE,0,20,Incomplete Pass,0,0
T.Brady,NE,0,20,Complete,0,0
T.Brady,NE,0,20,Complete,0,0
T.Brady,NE,0,0,Complete,0,0
T.Brady,NE,0,0,Complete,0,0
T.Brady,NE,0,-7,Incomplete Pass,0,0
T.Brady,NE,0,-7,Complete,0,0
T.Brady,NE,0,-7,Incomplete Pass,0,0
T.Brady,NE,0,-7,Complete,0,0
T.Brady,NE,0,-7,Complete,0,0
T.Brady,NE,0,-7,Complete,0,0
T.Brady,NE,0,-7,Complete,0,0
T.Brady,NE,0,-7,Complete,0,0
T.Brady,NE,0,-7,Complete,0,1
T.Brady,NE,0,0,Complete,0,0
T.Brady,NE,0,0,Complete,0,0
T.Brady,NE,0,0,Complete,0,0
T.Brady,NE,0,0,Incomplete Pass,0,0
T.Brady,NE,0,-2,Complete,0,0
T.Brady,NE,0,-2,Complete,0,0
T.Brady,NE,0,-2,Incomplete Pass,0,0
T.Brady,NE,0,-2,Complete,0,0
T.Brady,NE,0,-2,Complete,0,0
T.Brady,NE,0,-2,Incomplete Pass,0,0
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,1,Incomplete Pass,0,0
T.Brady,NE,0,1,Incomplete Pass,0,0
T.Brady,NE,0,4,Incomplete Pass,0,0
T.Brady,NE,0,4,Incomplete Pass,0,0
T.Brady,NE,0,4,Incomplete Pass,0,0
T.Brady,NE,0,4,Incomplete Pass,0,0
T.Brady,NE,0,4,Complete,0,0
T.Brady,NE,0,4,Complete,0,0
T.Brady,NE,0,4,Complete,0,0
T.Brady,NE,0,4,Incomplete Pass,0,0
T.Brady,NE,0,7,Complete,0,0
T.Brady,NE,0,7,Incomplete Pass,0,0
T.Brady,NE,0,7,Complete,0,0
T.Brady,NE,0,7,Complete,0,0
T.Brady,NE,0,7,Complete,0,0
T.Brady,NE,0,7,Complete,0,0
T.Brady,NE,0,7,Complete,0,0
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,1,Incomplete Pass,0,0
T.Brady,NE,0,1,Incomplete Pass,0,0
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,0,Incomplete Pass,0,0
T.Brady,NE,0,0,Complete,0,0
T.Brady,NE,0,0,Complete,0,1
T.Brady,NE,0,8,Complete,0,0
T.Brady,NE,0,8,Complete,0,0
T.Brady,NE,0,8,Complete,0,0
T.Brady,NE,0,8,Complete,0,0
T.Brady,NE,0,8,Complete,0,0
T.Brady,NE,0,8,Incomplete Pass,0,0
T.Brady,NE,0,11,Complete,0,0
T.Brady,NE,0,11,Incomplete Pass,0,0
T.Brady,NE,0,11,Complete,0,0
T.Brady,NE,0,11,Complete,0,0
T.Brady,NE,0,11,Complete,0,0
T.Brady,NE,0,11,Incomplete Pass,0,0
T.Brady,NE,0,11,Complete,0,1
T.Brady,NE,0,11,Complete,0,0
T.Brady,NE,0,11,Complete,0,0
T.Brady,NE,0,11,Complete,0,0
T.Brady,NE,0,18,Complete,0,0
T.Brady,NE,0,18,Complete,0,0
T.Brady,NE,0,18,Incomplete Pass,0,0
T.Brady,NE,0,18,Complete,0,0
T.Brady,NE,0,18,Complete,0,0
T.Brady,NE,0,18,Incomplete Pass,0,0
T.Brady,NE,0,18,Complete,0,0
T.Brady,NE,0,18,Complete,0,0
T.Brady,NE,0,18,Complete,0,0
T.Brady,NE,0,18,Complete,0,0
T.Brady,NE,0,18,Complete,0,0
T.Brady,NE,0,18,Incomplete Pass,0,0
T.Brady,NE,0,18,Complete,0,1
T.Brady,NE,0,25,Incomplete Pass,0,0
T.Brady,NE,0,25,Incomplete Pass,0,0
T.Brady,NE,0,0,Complete,0,0
T.Brady,NE,0,0,Complete,0,0
T.Brady,NE,0,0,Complete,0,0
T.Brady,NE,0,0,Complete,0,0
T.Brady,NE,0,0,Complete,0,0
T.Brady,NE,0,0,Complete,0,0
T.Brady,NE,0,0,Complete,0,0
T.Brady,NE,0,0,Complete,0,0
T.Brady,NE,0,0,Complete,0,1
T.Brady,NE,0,7,Complete,0,0
T.Brady,NE,0,7,Complete,0,0
T.Brady,NE,0,7,Complete,0,0
T.Brady,NE,0,7,Incomplete Pass,0,0
T.Brady,NE,0,7,Complete,0,0
T.Brady,NE,0,7,Incomplete Pass,0,0
T.Brady,NE,0,7,Complete,0,0
T.Brady,NE,0,7,Incomplete Pass,0,0
T.Brady,NE,0,7,Complete,0,0
T.Brady,NE,0,7,Complete,0,0
T.Brady,NE,0,7,Complete,0,0
T.Brady,NE,0,7,Complete,0,1
T.Brady,NE,0,14,Incomplete Pass,0,0
T.Brady,NE,0,14,Complete,0,0
