passer,team,passerid,driveCount,timeCount,yardCount,pointCount,playCount
T.Brady,NE,0,155,26669,6953,282,1377
A.Smith,KC,1,147,28754,6581,202,1218
T.Taylor,BUF,2,139,22166,5101,152,1173
J.McCown,NYJ,3,124,21479,4806,144,998
K.Cousins,WAS,4,169,29344,6381,216,1274
C.Wentz,PHI,5,131,23730,5220,259,1095
D.Carr,OAK,6,146,26856,5819,212,1165
M.Mariota,TEN,7,151,25174,5447,168,1167
B.Bortles,JAX,8,173,35594,6429,216,1353
T.Savage,HOU,9,65,10107,2023,42,527
D.Watson,HOU,10,72,14004,3067,138,576
C.Palmer,ARI,11,72,13518,2968,60,583
M.Stafford,DET,12,170,29204,6358,234,1292
D.Kizer,CLE,13,139,21390,5174,120,1114
B.Roethlisberger,PIT,14,153,28041,6696,228,1331
M.Ryan,ATL,15,150,29527,7192,204,1295
M.Glennon,CHI,16,36,6500,1483,36,328
A.Dalton,CIN,17,161,24627,5621,174,1194
J.Flacco,BAL,18,165,27743,5701,186,1307
J.Goff,LA,19,147,23508,6275,234,1180
J.Brissett,IND,20,148,26268,4986,144,1241
C.Newton,CAR,21,163,33534,6057,210,1329
B.Hoyer,SF,22,64,9828,2049,44,507
R.Wilson,SEA,23,173,25609,6891,226,1341
A.Rodgers,GB,24,59,10949,2244,121,538
D.Prescott,DAL,25,154,27023,6165,216,1312
E.Manning,NYG,26,163,25265,5776,144,1249
D.Brees,NO,27,155,28119,6953,240,1291
T.Siemian,DEN,28,105,16379,3893,102,819
P.Rivers,LAC,29,158,26748,6774,222,1317
J.Winston,TB,30,121,19723,5097,150,1018
R.Fitzpatrick,TB,31,45,7259,1655,60,373
C.Keenum,MIN,32,149,26228,6037,216,1258
J.Cutler,MIA,33,131,22703,4734,169,988
B.Hundley,GB,34,100,16953,3668,90,780
M.Trubisky,CHI,35,116,18940,4725,102,902
C.Beathard,SF,36,65,10306,2156,60,502
B.Osweiler,DEN,37,51,11405,1960,48,430
M.Moore,MIA,38,34,5835,1146,24,264
D.Stanton,ARI,39,51,7697,1571,48,394
N.Foles,PHI,40,33,4835,890,36,245
B.Gabbert,ARI,41,60,8929,1845,47,429
J.Garoppolo,SF,42,48,12294,2419,66,452
T.Yates,HOU,43,36,5035,1129,30,262
B.Petty,NYJ,44,40,4971,1284,12,273
