T.Brady,NE,AirYards,Completion,Touchdown,Interception,Down,Quarter,offScore
27,Incomplete Pass,0,0,1,1,0,0,1
1,Complete,0,0,2,1,0,0,1
18,Complete,0,0,2,1,0,0,1
6,Complete,0,0,2,1,0,0,1
2,Incomplete Pass,0,0,1,1,0,0,1
27,Incomplete Pass,0,0,1,1,7,0,3
2,Complete,0,0,2,1,7,0,3
17,Incomplete Pass,0,0,1,1,7,0,3
5,Complete,0,0,3,1,7,0,3
24,Complete,0,0,2,1,7,7,5
1,Complete,0,0,1,1,7,7,5
12,Incomplete Pass,0,0,1,1,7,7,5
7,Complete,0,0,3,2,10,7,7
26,Incomplete Pass,0,0,1,2,10,7,7
14,Complete,0,0,3,2,10,7,7
16,Incomplete Pass,0,0,2,2,17,7,9
7,Incomplete Pass,0,0,3,2,17,7,9
30,Incomplete Pass,0,0,1,3,17,14,13
-6,Complete,0,0,2,3,17,14,13
17,Incomplete Pass,0,0,3,3,17,14,13
42,Incomplete Pass,0,0,1,3,17,21,15
15,Complete,0,0,3,3,17,21,15
-8,Incomplete Pass,0,0,1,3,17,21,15
3,Incomplete Pass,0,0,3,3,17,21,15
15,Complete,0,0,1,3,17,21,17
52,Complete,0,0,1,3,24,21,19
5,Complete,0,0,1,4,27,28,21
2,Complete,0,0,1,4,27,28,21
8,Incomplete Pass,0,0,2,4,27,28,21
-6,Complete,0,0,3,4,27,28,21
26,Incomplete Pass,0,0,1,4,27,28,23
38,Incomplete Pass,0,0,2,4,27,28,23
10,Incomplete Pass,0,0,3,4,27,28,23
56,Incomplete Pass,0,0,2,4,27,35,25
52,Incomplete Pass,0,0,3,4,27,35,25
4,Incomplete Pass,0,0,3,4,27,42,27
3,Complete,0,0,1,1,0,0,1
1,Complete,0,0,3,1,0,0,1
5,Incomplete Pass,0,0,1,1,0,0,1
0,Complete,0,0,2,1,0,0,1
9,Complete,0,0,3,1,0,0,1
2,Complete,0,0,1,1,0,0,1
19,Complete,1,0,1,1,0,0,1
12,Incomplete Pass,0,0,1,1,6,3,3
-3,Complete,0,0,2,1,6,3,3
17,Complete,1,0,3,1,6,3,3
-5,Incomplete Pass,0,0,2,1,13,3,5
9,Complete,0,0,3,1,13,3,5
0,Complete,0,0,1,1,13,3,5
13,Incomplete Pass,0,0,2,1,13,3,5
11,Complete,1,0,3,1,13,3,5
0,Complete,0,0,1,2,20,10,7
4,Incomplete Pass,0,0,2,2,20,10,7
12,Complete,0,0,1,2,20,13,9
6,Complete,0,0,2,2,20,13,9
22,Complete,0,0,2,2,20,13,9
-3,Complete,0,0,1,2,27,13,11
10,Complete,0,0,1,2,27,13,11
-5,Complete,0,0,1,2,27,13,11
17,Incomplete Pass,0,0,2,2,27,13,11
6,Complete,0,0,1,3,30,13,13
5,Complete,0,0,1,3,30,13,13
10,Incomplete Pass,0,0,2,3,30,13,13
0,Incomplete Pass,0,0,3,3,30,13,13
4,Complete,0,0,1,3,30,13,15
9,Complete,0,0,2,3,30,13,15
6,Incomplete Pass,0,0,2,3,30,13,15
-2,Complete,0,0,3,3,30,13,15
5,Complete,0,0,1,4,33,13,17
17,Complete,0,0,2,4,33,13,17
6,Complete,0,0,2,4,33,13,17
35,Complete,0,0,1,4,33,13,17
-4,Complete,0,0,2,4,33,13,17
5,Complete,0,0,2,4,36,20,19
44,Complete,0,0,3,1,0,0,2
5,Incomplete Pass,0,0,1,1,0,0,2
5,Incomplete Pass,0,0,2,1,0,0,2
5,Complete,1,0,3,1,0,0,2
1,Incomplete Pass,0,0,1,1,7,3,4
3,Complete,0,0,3,1,7,3,4
16,Complete,0,0,1,1,7,10,8
8,Incomplete Pass,0,0,1,1,7,10,8
8,Complete,0,0,2,1,7,10,8
2,Complete,0,0,3,2,7,10,8
7,Complete,1,0,1,2,7,10,10
2,Complete,0,0,1,2,14,13,12
17,Incomplete Pass,0,0,1,2,14,19,13
15,Complete,0,0,3,2,14,19,13
25,Complete,1,0,1,2,14,19,13
20,Incomplete Pass,0,0,1,2,21,19,15
20,Incomplete Pass,0,0,2,2,21,19,15
2,Complete,0,0,1,3,21,19,16
10,Complete,0,0,2,3,21,19,16
4,Complete,0,0,1,3,21,19,16
